policy,trajectory_id,obs_frac,query_target_N,base_N,shrink,tkpm,context_size,loss_log_min,loss_log_max,band_width_start,band_width_final,band_width_ratio
context_ifbo,52,0.05,610488320,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.40434325579575603,0.16040779940939132,2.5207206712174566
context_ifbo,52,0.1,610488320,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.23796865373476006,0.15480618896529585,1.5372037469904216
context_ifbo,52,0.2,610488320,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.16086321018649796,0.14202779695022416,1.1326177948312115
context_ifbo,52,0.5,610488320,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.10502652159822468,0.11075070977532153,0.9483146592133862
context_ifbo,52,0.9,610488320,14562560,0.4,20.0,109,0.47629245805338843,2.396492735247787,0.10755537886921251,0.10706657709189749,1.0045654002452649
prefix_only,6,0.05,32270848,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.2291776312117606,6.648514554355363,0.03447050154408236
prefix_only,6,0.1,32270848,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.11812127826637653,6.190438852757543,0.019081244654207217
prefix_only,6,0.2,32270848,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.1111058689385458,5.003949764296808,0.022203633963571417
prefix_only,6,0.5,32270848,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.09318932729203766,3.0360008499909172,0.030694763241688964
prefix_only,6,0.9,32270848,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.0880255138833852,0.09936910959223955,0.8858438426649619
prefix_only,19,0.05,77124608,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.2201172220222034,7.125427042205296,0.0308917936733344
prefix_only,19,0.1,77124608,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.14658762061823793,6.741873174738275,0.021742862379479363
prefix_only,19,0.2,77124608,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.15341171152261346,5.55357446317172,0.02762395868461949
prefix_only,19,0.5,77124608,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.09263077606789816,4.2032636253228475,0.022037822112759654
prefix_only,19,0.9,77124608,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.09014622248233728,0.10318707444894382,0.8736193264878437
prefix_only,28,0.05,134561280,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.1474819824561271,7.295972061692229,0.020214164913060276
prefix_only,28,0.1,134561280,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.13254469719255368,6.4353676452666075,0.020596289831249035
prefix_only,28,0.2,134561280,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.11124911456618358,4.887505239994198,0.022761942771096784
prefix_only,28,0.5,134561280,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.08395815365290904,3.671780804083447,0.022865785876852403
prefix_only,28,0.9,134561280,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.0841776649025825,0.09085622194994913,0.9264931239266616
prefix_only,39,0.05,287183360,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.7410890574176188,7.904468720569026,0.09375570751379599
prefix_only,39,0.1,287183360,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.19229660921658853,7.416840360953064,0.02592702550657008
prefix_only,39,0.2,287183360,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.4741060623815778,6.804294831080503,0.06967747197196203
prefix_only,39,0.5,287183360,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.1459835201077031,4.798433764919996,0.030423160401826882
prefix_only,39,0.9,287183360,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.15046527004484722,0.8276504515404859,0.18179808851042106
prefix_only,52,0.05,610488320,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.19729383334507578,7.966603130026684,0.024765113828936893
prefix_only,52,0.1,610488320,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.1814351126540552,7.499757279433917,0.02419213127758049
prefix_only,52,0.2,610488320,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.17962279143267135,7.12304359081257,0.02521714055833549
prefix_only,52,0.5,610488320,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,0.1465528469104629,6.692475494799142,0.0218981521896273
prefix_only,52,0.9,610488320,14562560,0.4,20.0,1,0.47629245805338843,2.396492735247787,1.0789214951910504,2.9817774538723296,0.36183837052959567
