scale,source_config,source_hp,epoch,target_hp,target_hp_short,nll,mse
[8],2,"lr=1e-05, wd=0.01",20,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-1.4688198768899063,0.001431892359991878
[8],2,"lr=1e-05, wd=0.01",20,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-1.5934773026261604,0.00012367702264559768
[8],2,"lr=1e-05, wd=0.01",20,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.4830433711947324,0.002551767777304199
[8],2,"lr=1e-05, wd=0.01",20,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-1.3601648800229589,0.00011820238844477264
[8],2,"lr=1e-05, wd=0.01",20,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.4640501677464752,0.002689252931984703
[8],2,"lr=1e-05, wd=0.01",20,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-1.328211318125713,4.5017214667753496e-05
[8],2,"lr=1e-05, wd=0.01",20,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-1.4468707847221367,0.0016126257679628699
[8],2,"lr=1e-05, wd=0.01",20,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-1.5379938981153054,0.001032162704741884
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-2.245268735843267,5.746165478264304e-06
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-2.2787952709008095,6.506267293986165e-07
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-2.220034741760472,1.590656708515708e-05
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-2.413237282898759,3.7774024797636475e-06
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.048086408044742,0.00014586162871481088
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-3.469974781130615,1.3790028467285768e-07
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.8743416771465353,0.0002939584273562577
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-2.326762272554869,8.583804577773753e-11
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.7593266929193352,8.938509397861707e-05
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-2.1169045265095967,0.00025275646528739843
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-2.2879758151886254,0.0004873482812125574
[8],2,"lr=1e-05, wd=0.01",50,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-2.021982339160772,0.0007358221637075689
[8],2,"lr=1e-05, wd=0.01",90,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-3.9081307561016816,1.0481868368813142e-05
[8],2,"lr=1e-05, wd=0.01",90,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-4.061243186633142,1.6651204472560798e-06
[8],2,"lr=1e-05, wd=0.01",90,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-3.9601000769015307,5.8660022710341165e-06
[8],2,"lr=1e-05, wd=0.01",90,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-4.096230596247376,9.74323668819335e-07
[8],2,"lr=1e-05, wd=0.01",90,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.4352869606261565,4.247461446547787e-06
[8],2,"lr=1e-05, wd=0.01",90,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-4.109019282672306,3.0016967524864574e-06
[8],2,"lr=1e-05, wd=0.01",90,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-2.4442242785395085,8.904176865141178e-06
