scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],0,"lr0.001,wd0.0",4,"lr=3e-05, wd=0.01",85995792353.3561,10
[8],0,"lr0.001,wd0.0",1,"lr=1e-05, wd=0.0",133326920884.4476,11
[8],0,"lr0.001,wd0.0",2,"lr=1e-05, wd=0.01",144542198484.2105,12
[8],0,"lr0.001,wd0.01",10,"lr=0.001, wd=0.01",26727580675.0386,1
[8],0,"lr0.001,wd0.01",11,"lr=0.003, wd=0.0",31681797150.331,2
[8],0,"lr0.001,wd0.01",9,"lr=0.001, wd=0.0",36210085975.2364,3
[8],0,"lr0.001,wd0.01",7,"lr=3e-04, wd=0.0",39992328977.1529,4
[8],0,"lr0.001,wd0.01",12,"lr=0.003, wd=0.01",48083842849.7665,5
[8],0,"lr0.001,wd0.01",5,"lr=1e-04, wd=0.0",57664853680.3582,6
[8],0,"lr0.001,wd0.01",8,"lr=3e-04, wd=0.01",59442725508.5741,7
[8],0,"lr0.001,wd0.01",6,"lr=1e-04, wd=0.01",84021024921.4612,8
[8],0,"lr0.001,wd0.01",3,"lr=3e-05, wd=0.0",102230218699.2921,9
[8],0,"lr0.001,wd0.01",4,"lr=3e-05, wd=0.01",125620048249.9306,10
[8],0,"lr0.001,wd0.01",1,"lr=1e-05, wd=0.0",181551817292.5451,11
[8],0,"lr0.001,wd0.01",2,"lr=1e-05, wd=0.01",195747955557.7449,12
[8],0,"lr0.003,wd0.0",10,"lr=0.001, wd=0.01",12105147818.0239,1
[8],0,"lr0.003,wd0.0",11,"lr=0.003, wd=0.0",16432651397.2299,2
[8],0,"lr0.003,wd0.0",9,"lr=0.001, wd=0.0",18881999916.3137,3
[8],0,"lr0.003,wd0.0",7,"lr=3e-04, wd=0.0",21466377281.8503,4
[8],0,"lr0.003,wd0.0",12,"lr=0.003, wd=0.01",28448483727.6219,5
[8],0,"lr0.003,wd0.0",5,"lr=1e-04, wd=0.0",34409067455.4235,6
[8],0,"lr0.003,wd0.0",8,"lr=3e-04, wd=0.01",35835852078.0479,7
[8],0,"lr0.003,wd0.0",6,"lr=1e-04, wd=0.01",54995510997.7422,8
[8],0,"lr0.003,wd0.0",3,"lr=3e-05, wd=0.0",70242451682.2333,9
[8],0,"lr0.003,wd0.0",4,"lr=3e-05, wd=0.01",89323326030.9969,10
[8],0,"lr0.003,wd0.0",1,"lr=1e-05, wd=0.0",133748684845.5059,11
[8],0,"lr0.003,wd0.0",2,"lr=1e-05, wd=0.01",144013729130.881,12
[8],0,"lr0.003,wd0.01",10,"lr=0.001, wd=0.01",22777510603.3395,1
[8],0,"lr0.003,wd0.01",11,"lr=0.003, wd=0.0",27982202088.1782,2
[8],0,"lr0.003,wd0.01",9,"lr=0.001, wd=0.0",31597486751.6752,3
[8],0,"lr0.003,wd0.01",7,"lr=3e-04, wd=0.0",35032570931.7985,4
[8],0,"lr0.003,wd0.01",12,"lr=0.003, wd=0.01",43827932541.2216,5
[8],0,"lr0.003,wd0.01",5,"lr=1e-04, wd=0.0",51260448535.539,6
[8],0,"lr0.003,wd0.01",8,"lr=3e-04, wd=0.01",53217125654.4805,7
[8],0,"lr0.003,wd0.01",6,"lr=1e-04, wd=0.01",76000735312.9919,8
[8],0,"lr0.003,wd0.01",3,"lr=3e-05, wd=0.0",93411987446.7395,9
[8],0,"lr0.003,wd0.01",4,"lr=3e-05, wd=0.01",115415160649.3717,10
[8],0,"lr0.003,wd0.01",1,"lr=1e-05, wd=0.0",165433890093.4504,11
