scale,source_config,source_hp,epoch,target_hp,target_hp_short,nll,mse
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",50142116.06239985,0.00010028425791794375
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",198250718179.0355,0.39650143638386415
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",165484497891.32925,0.3309689958084517
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",233347397718.495,0.46669479546278314
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",191127545967.85492,0.382255091961503
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",212025176680.93912,0.4240503533876714
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",206749723625.5846,0.41349944727696236
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",167060442467.07574,0.33412088495994463
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",206984362634.13492,0.413968725294063
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",144542198484.21048,0.2890843969942141
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",195747955557.7449,0.39149591114128296
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",144013729130.881,0.28802745828755516
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",177695766406.31915,0.35539153283843145
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",11760149199.868517,0.02352029842553018
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",6027649871.377264,0.012055299768547672
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",481164034.396066,0.0009623280945852761
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",325639383.8965796,0.0006512787935863034
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",2291554279.18017,0.004583108584153484
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",5845345.965547332,1.1690717724238713e-05
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",15038178085.550768,0.03007635619689468
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",58737930.81469186,0.00011747588742252776
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",22512607686.41337,0.04502521539861988
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",719050241.9286777,0.0014381005096504994
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",24629167818.45648,0.0492583356627061
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",12020952235.061348,0.02404190449591584
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",1743090823.5802088,0.003486181672953562
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",1879268562.514211,0.003758537150821566
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",57078076.63025549,0.00011415617905365502
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",207621418.5716813,0.0004152428629365066
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",4452077396.887542,0.008904154819568228
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",645750758.2144848,0.0012915015422221136
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",16956254736.907572,0.033912509499608286
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",788435918.226553,0.00157687186224625
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",15595197991.367743,0.031190396008528628
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",382424441.24874306,0.0007648489082906303
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",8113942219.115622,0.016227884464024386
