policy,obs_frac,t_target,query_target_N,n_configs,spearman_rho,kendall_tau,spearman_p,kendall_p
all_lower_only,0.2,0.6,287183360,35,0.9394957983193277,0.8016806722689076,6.474267044574617e-17,1.2519770958201836e-11
all_lower_only,0.2,0.6,610488320,8,0.09523809523809526,0.14285714285714285,0.8225054302036114,0.7195436507936508
all_lower_only,0.2,0.7,77124608,24,0.9339130434782608,0.7971014492753623,2.6604350278709726e-11,3.0647335684338345e-10
all_lower_only,0.2,0.7,134561280,27,0.963980463980464,0.851851851851852,6.827855622727612e-16,5.37720951425131e-14
all_lower_only,0.2,0.7,287183360,35,0.9210084033613446,0.7714285714285715,4.584095989278816e-15,7.103414675348589e-11
all_lower_only,0.2,0.7,610488320,8,0.09523809523809526,0.14285714285714285,0.8225054302036114,0.7195436507936508
all_lower_only,0.2,0.8,77124608,24,0.9339130434782608,0.7971014492753623,2.6604350278709726e-11,3.0647335684338345e-10
all_lower_only,0.2,0.8,134561280,27,0.9578754578754578,0.8404558404558405,4.676139479952181e-15,1.8992172603122356e-13
all_lower_only,0.2,0.8,287183360,35,0.9100840336134455,0.7478991596638656,3.5764076440359514e-14,2.6217798223931406e-10
all_lower_only,0.2,0.8,610488320,8,0.09523809523809526,0.14285714285714285,0.8225054302036114,0.7195436507936508
all_lower_only,0.2,0.9,77124608,24,0.9391304347826085,0.8043478260869565,1.1034610116370757e-11,1.7556002419973754e-10
all_lower_only,0.2,0.9,134561280,27,0.9499389499389499,0.8176638176638178,3.87454230577264e-14,1.9346383725519378e-12
all_lower_only,0.2,0.9,287183360,35,0.8798319327731092,0.7142857142857143,3.395662758482941e-12,1.5836465991868992e-09
all_lower_only,0.2,0.9,610488320,8,-0.023809523809523815,0.0,0.9553740118158807,1.0
all_lower_only,0.2,1.0,77124608,24,0.9495652173913043,0.8043478260869565,1.4644153248304371e-12,1.7556002419973754e-10
all_lower_only,0.2,1.0,134561280,27,0.9462759462759464,0.8005698005698006,9.181536546192265e-14,9.465582296064829e-12
all_lower_only,0.2,1.0,287183360,35,0.8680672268907562,0.6873949579831933,1.4476468442728063e-11,6.3078066415107675e-09
all_lower_only,0.2,1.0,610488320,8,0.0,0.07142857142857142,1.0,0.9048611111111111
all_lower_only,0.5,0.6,77124608,24,0.9626086956521739,0.8695652173913043,5.788561169509911e-14,4.617294042497529e-13
all_lower_only,0.5,0.6,134561280,27,0.9609279609279608,0.8404558404558405,1.8565580023501558e-15,1.8992172603122356e-13
all_lower_only,0.5,0.6,287183360,35,0.919327731092437,0.7579831932773109,6.406020551661118e-15,1.505213765630304e-10
all_lower_only,0.5,0.6,610488320,8,0.3571428571428572,0.2857142857142857,0.38512064355625636,0.39875992063492066
all_lower_only,0.5,0.7,77124608,24,0.9660869565217389,0.8695652173913043,2.0098298746764903e-14,4.617294042497529e-13
all_lower_only,0.5,0.7,134561280,27,0.963980463980464,0.8461538461538463,6.827855622727612e-16,1.0199007870930147e-13
all_lower_only,0.5,0.7,287183360,35,0.8974789915966387,0.7176470588235293,2.829774235582448e-13,1.3276766778249263e-09
all_lower_only,0.5,0.7,610488320,8,0.3571428571428572,0.2857142857142857,0.38512064355625636,0.39875992063492066
all_lower_only,0.5,0.8,77124608,24,0.9556521739130434,0.8478260869565217,3.66096510178676e-13,4.1409614708213e-12
all_lower_only,0.5,0.8,134561280,27,0.9578754578754578,0.8290598290598292,4.676139479952181e-15,6.25571460678075e-13
all_lower_only,0.5,0.8,287183360,35,0.8750700280112044,0.6840336134453782,6.214665240579987e-12,7.470824316982458e-09
all_lower_only,0.5,0.8,610488320,8,0.3571428571428572,0.2857142857142857,0.38512064355625636,0.39875992063492066
all_lower_only,0.5,0.9,77124608,24,0.9556521739130434,0.8405797101449275,3.66096510178676e-13,8.162701588245023e-12
all_lower_only,0.5,0.9,134561280,27,0.9548229548229549,0.8233618233618234,1.1027462346338171e-14,1.1083958044590423e-12
all_lower_only,0.5,0.9,287183360,35,0.8714285714285716,0.6773109243697478,9.706275767949789e-12,1.0455016807787079e-08
all_lower_only,0.5,0.9,610488320,8,-0.28571428571428575,-0.14285714285714285,0.4927262450169573,0.7195436507936508
all_lower_only,0.5,1.0,77124608,24,0.946086956521739,0.8260869565217391,3.000427331585604e-12,2.960503200513917e-11
all_lower_only,0.5,1.0,134561280,27,0.9499389499389499,0.8062678062678064,3.87454230577264e-14,5.650092007351314e-12
all_lower_only,0.5,1.0,287183360,35,0.8904761904761905,0.6974789915966386,7.978142704061533e-13,3.7788428449407655e-09
all_lower_only,0.5,1.0,610488320,8,-0.30952380952380953,-0.21428571428571427,0.4556448907375822,0.5484126984126985
bracket_nearest,0.05,0.1,77124608,24,0.9339130434782608,0.8188405797101449,2.6604350278709726e-11,5.4621594722448636e-11
bracket_nearest,0.05,0.1,134561280,27,0.9786324786324787,0.9031339031339033,1.0809166955435103e-18,6.001690963784048e-17
bracket_nearest,0.05,0.1,287183360,35,0.9571428571428572,0.8319327731092436,2.49713633083117e-19,2.069649255260139e-12
bracket_nearest,0.05,0.2,77124608,24,0.9199999999999999,0.7898550724637681,2.037424643847237e-10,5.262488855310654e-10
bracket_nearest,0.05,0.2,134561280,27,0.9487179487179487,0.8119658119658121,5.201773821360526e-14,3.3288427604530016e-12
bracket_nearest,0.05,0.2,287183360,35,0.9221288515406163,0.7714285714285715,3.652309607471473e-15,7.103414675348589e-11
bracket_nearest,0.05,0.3,77124608,24,0.9226086956521738,0.7608695652173914,1.4324486487633293e-10,3.940740132129514e-09
bracket_nearest,0.05,0.3,134561280,27,0.927960927960928,0.7663817663817665,3.249886024107088e-12,1.6375435059719837e-10
bracket_nearest,0.05,0.3,287183360,35,0.9112044817927171,0.7445378151260504,2.932888370981799e-14,3.1495133515640004e-10
bracket_nearest,0.05,0.4,77124608,24,0.8843478260869565,0.7028985507246377,9.90193584631208e-09,1.2265451832839693e-07
bracket_nearest,0.05,0.4,134561280,27,0.9310134310134309,0.7777777777777779,1.9235557858865975e-12,6.613675059372243e-11
bracket_nearest,0.05,0.4,287183360,35,0.9044817927170868,0.7378151260504202,9.289956147632784e-14,4.5342987505741183e-10
bracket_nearest,0.05,0.5,77124608,24,0.8495652173913043,0.6449275362318841,1.5081980924883657e-07,2.0950549744611917e-06
bracket_nearest,0.05,0.5,134561280,27,0.9432234432234432,0.7834757834757836,1.8017186395759424e-13,4.137650647362464e-11
bracket_nearest,0.05,0.5,287183360,35,0.8829131652661065,0.707563025210084,2.2652344934022336e-12,2.2478334102851786e-09
bracket_nearest,0.05,0.6,77124608,24,0.8452173913043477,0.6376811594202899,2.0198318553448652e-07,2.886510696821259e-06
bracket_nearest,0.05,0.6,134561280,27,0.9218559218559219,0.7435897435897437,8.687111652984501e-12,8.948557078961818e-10
bracket_nearest,0.05,0.6,287183360,35,0.85406162464986,0.6638655462184874,6.858924818221018e-11,2.0283503167073148e-08
