policy,obs_frac,t_target,query_target_N,n_configs,regret,normalized_regret,oracle_loss,selected_loss,top1_overlap,top1_hit_rate,top1_best_in_pred,top3_overlap,top3_hit_rate,top3_best_in_pred,top5_overlap,top5_hit_rate,top5_best_in_pred
all_lower_only,0.5,1.0,134561280,27,0.002615690231323242,0.011314496808612672,1.7854115962982178,1.788027286529541,0,0.0,0,2,0.6666666666666666,1,5,1.0,1
all_lower_only,0.5,1.0,287183360,35,0.01255786418914795,0.0806089498331854,1.6100938320159912,1.6226516962051392,0,0.0,0,1,0.3333333333333333,0,3,0.6,1
all_lower_only,0.5,1.0,610488320,8,0.02389383316040039,0.20294603658042673,1.6192057132720947,1.6430995464324951,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
bracket_nearest,0.05,0.1,77124608,24,0.0,0.0,2.1620161151885986,2.1620161151885986,1,1.0,1,2,0.6666666666666666,1,3,0.6,1
bracket_nearest,0.05,0.1,134561280,27,0.0,0.0,1.970188468694687,1.970188468694687,1,1.0,1,2,0.6666666666666666,1,5,1.0,1
bracket_nearest,0.05,0.1,287183360,35,0.0021545147895813965,0.007179125459890842,1.8571431255340576,1.859297640323639,0,0.0,0,1,0.3333333333333333,0,4,0.8,1
bracket_nearest,0.05,0.2,77124608,24,0.0,0.0,2.102961665899857,2.102961665899857,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.2,134561280,27,0.018015286321225288,0.04401087817482912,1.9417323125963626,1.9597475989175879,0,0.0,0,2,0.6666666666666666,1,3,0.6,1
bracket_nearest,0.05,0.2,287183360,35,0.004731265627819781,0.01928062797488011,1.7937163145023842,1.798447580130204,0,0.0,0,0,0.0,0,4,0.8,1
bracket_nearest,0.05,0.3,77124608,24,0.0,0.0,2.061852360227834,2.061852360227834,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.3,134561280,27,0.04237371448848548,0.13003849301699708,1.918067497688791,1.9604412121772765,0,0.0,0,1,0.3333333333333333,0,4,0.8,1
bracket_nearest,0.05,0.3,287183360,35,0.00933426380157476,0.041312479136964654,1.7527006153231082,1.762034879124683,0,0.0,0,0,0.0,0,4,0.8,0
bracket_nearest,0.05,0.4,77124608,24,0.0,0.0,2.036208664127018,2.036208664127018,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.4,134561280,27,0.03486707239565656,0.11693898010697762,1.9002963506657145,1.935163423061371,0,0.0,0,1,0.3333333333333333,0,4,0.8,1
bracket_nearest,0.05,0.4,287183360,35,0.010507490510525797,0.0489510089923157,1.7278004993148472,1.738307989825373,0,0.0,0,0,0.0,0,3,0.6,0
bracket_nearest,0.05,0.5,77124608,24,0.0,0.0,2.0169719080717665,2.0169719080717665,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.5,134561280,27,0.026485727890678046,0.09660335364994439,1.8854584382927937,1.9119441661834717,0,0.0,0,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.5,287183360,35,0.04740666034947272,0.2339373193190524,1.7078543041685352,1.755260964518008,0,0.0,0,0,0.0,0,2,0.4,0
bracket_nearest,0.05,0.6,77124608,24,0.0,0.0,2.0005139566504435,2.0005139566504435,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.6,134561280,27,0.024739271837731946,0.09695780905750513,1.8712962215361388,1.8960354933738708,0,0.0,0,1,0.3333333333333333,1,3,0.6,1
bracket_nearest,0.05,0.6,287183360,35,0.04737277435219789,0.2400230994804045,1.6918271078234135,1.7391998821756114,0,0.0,0,0,0.0,0,1,0.2,0
bracket_nearest,0.05,0.7,77124608,24,0.0,0.0,1.9884876050327136,1.9884876050327136,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.7,134561280,27,0.024827211297076657,0.10232596881901874,1.8591603194112363,1.883987530708313,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
bracket_nearest,0.05,0.7,287183360,35,0.04818661963421378,0.24985279492008403,1.6781197503131369,1.7263063699473506,0,0.0,0,0,0.0,0,1,0.2,0
bracket_nearest,0.05,0.8,77124608,24,0.0,0.0,1.978469957559005,1.978469957559005,1,1.0,1,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.8,134561280,27,0.025176751758741345,0.10859372981131052,1.849080094669176,1.8742568464279175,0,0.0,0,1,0.3333333333333333,0,3,0.6,0
bracket_nearest,0.05,0.8,287183360,35,0.047707092409548624,0.25093283879926315,1.667962272685507,1.7156693650950556,0,0.0,0,0,0.0,0,1,0.2,0
bracket_nearest,0.05,0.9,77124608,24,0.01554890528969155,0.09222656758393272,1.9360440122977547,1.9515929175874462,0,0.0,0,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,0.9,134561280,27,0.018789303313131,0.08185810572318356,1.8139769964114478,1.8327662997245788,0,0.0,0,1,0.3333333333333333,0,2,0.4,0
bracket_nearest,0.05,0.9,287183360,35,0.04895411033215735,0.28362087855868556,1.6361752475240956,1.685129357856253,0,0.0,0,0,0.0,0,1,0.2,0
bracket_nearest,0.05,1.0,77124608,24,0.01702582836151123,0.0990599833678161,1.8988457918167114,1.9158716201782227,0,0.0,0,1,0.3333333333333333,1,4,0.8,1
bracket_nearest,0.05,1.0,134561280,27,0.010948419570922852,0.047358764738702264,1.7854115962982178,1.7963600158691406,0,0.0,0,2,0.6666666666666666,0,3,0.6,0
bracket_nearest,0.05,1.0,287183360,35,0.051480650901794434,0.3304543785008111,1.6100938320159912,1.6615744829177856,0,0.0,0,0,0.0,0,1,0.2,0
bracket_nearest,0.1,0.2,77124608,24,0.006080256959666297,0.02243820835654963,2.102961665899857,2.1090419228595234,0,0.0,0,1,0.3333333333333333,1,4,0.8,1
