policy,obs_frac,t_target,query_target_N_a,query_target_N_b,scale_gap,n_shared_configs,pred_pairwise_rho,pred_pairwise_tau,true_pairwise_rho,true_pairwise_tau
all_lower_only,0.2,0.6,134561280,610488320,4.536879554058939,7,0.07142857142857144,0.04761904761904762,0.4642857142857144,0.5238095238095238
all_lower_only,0.2,0.6,287183360,610488320,2.1257788752105973,7,-0.1785714285714286,-0.14285714285714288,0.42857142857142866,0.4285714285714286
all_lower_only,0.2,0.7,77124608,134561280,1.7447256263526163,9,0.9,0.7222222222222222,0.9833333333333333,0.9444444444444445
all_lower_only,0.2,0.7,77124608,287183360,3.7236281317630815,15,0.7928571428571427,0.580952380952381,0.7678571428571428,0.6000000000000001
all_lower_only,0.2,0.7,77124608,610488320,7.915610021641861,7,0.07142857142857144,0.04761904761904762,0.42857142857142866,0.4285714285714286
all_lower_only,0.2,0.7,134561280,287183360,2.1342198885147345,9,0.9166666666666666,0.7777777777777778,0.9833333333333333,0.9444444444444445
all_lower_only,0.2,0.7,134561280,610488320,4.536879554058939,7,0.07142857142857144,0.04761904761904762,0.4642857142857144,0.5238095238095238
all_lower_only,0.2,0.7,287183360,610488320,2.1257788752105973,7,-0.5,-0.33333333333333337,0.42857142857142866,0.4285714285714286
all_lower_only,0.2,0.8,77124608,134561280,1.7447256263526163,9,0.9,0.7222222222222222,0.9833333333333333,0.9444444444444445
all_lower_only,0.2,0.8,77124608,287183360,3.7236281317630815,15,0.825,0.6190476190476191,0.7678571428571428,0.6000000000000001
all_lower_only,0.2,0.8,77124608,610488320,7.915610021641861,7,0.07142857142857144,0.04761904761904762,0.42857142857142866,0.4285714285714286
all_lower_only,0.2,0.8,134561280,287183360,2.1342198885147345,9,0.9166666666666666,0.7777777777777778,0.9833333333333333,0.9444444444444445
all_lower_only,0.2,0.8,134561280,610488320,4.536879554058939,7,0.07142857142857144,0.04761904761904762,0.4642857142857144,0.5238095238095238
all_lower_only,0.2,0.8,287183360,610488320,2.1257788752105973,7,-0.5,-0.33333333333333337,0.42857142857142866,0.4285714285714286
all_lower_only,0.2,0.9,77124608,134561280,1.7447256263526163,9,0.9,0.7222222222222222,1.0,1.0
all_lower_only,0.2,0.9,77124608,287183360,3.7236281317630815,15,0.825,0.6190476190476191,0.7607142857142856,0.6000000000000001
all_lower_only,0.2,0.9,77124608,610488320,7.915610021641861,7,0.07142857142857144,0.04761904761904762,0.9642857142857145,0.9047619047619049
all_lower_only,0.2,0.9,134561280,287183360,2.1342198885147345,9,0.9,0.7222222222222222,1.0,1.0
all_lower_only,0.2,0.9,134561280,610488320,4.536879554058939,7,0.07142857142857144,0.04761904761904762,0.9642857142857145,0.9047619047619049
all_lower_only,0.2,0.9,287183360,610488320,2.1257788752105973,7,-0.5,-0.33333333333333337,0.9642857142857145,0.9047619047619049
all_lower_only,0.2,1.0,77124608,134561280,1.7447256263526163,9,0.9,0.7222222222222222,1.0,1.0
all_lower_only,0.2,1.0,77124608,287183360,3.7236281317630815,15,0.8142857142857142,0.580952380952381,0.7785714285714285,0.6000000000000001
all_lower_only,0.2,1.0,77124608,610488320,7.915610021641861,7,0.07142857142857144,0.04761904761904762,0.9285714285714288,0.8095238095238096
all_lower_only,0.2,1.0,134561280,287183360,2.1342198885147345,9,0.8666666666666667,0.6666666666666666,0.9500000000000001,0.8888888888888888
