policy,trajectory_id,obs_frac,query_target_N,base_N,shrink,tkpm,mae,rmse,coverage_90,final_abs_error
bracket_nearest,41,0.5,287183360,14562560,0.8,20.0,0.023155865312549005,0.033100636751447296,1.0,0.07985014091339715
bracket_nearest,42,0.05,287183360,14562560,1.0,20.0,0.07018770047350244,0.07147198049848073,1.0,0.10975430606763692
bracket_nearest,42,0.1,287183360,14562560,1.0,20.0,0.04836571460628974,0.05091158888185076,1.0,0.10069990167816267
bracket_nearest,42,0.2,287183360,14562560,1.0,20.0,0.03166238709295131,0.03715188983354313,1.0,0.09102089192629936
bracket_nearest,42,0.5,287183360,14562560,1.0,20.0,0.017654768386725115,0.02714785968176624,1.0,0.06792443636813061
bracket_nearest,43,0.05,287183360,14562560,0.2,30.0,0.09472637619635471,0.09650059420294807,0.9147286821705426,0.14607246752286485
bracket_nearest,43,0.1,287183360,14562560,0.2,30.0,0.07905506405187526,0.08203014871611758,0.9217391304347826,0.13663176984055103
bracket_nearest,43,0.2,287183360,14562560,0.2,30.0,0.0743200846848994,0.07756607645240013,0.8737864077669902,0.1314319869315581
bracket_nearest,43,0.5,287183360,14562560,0.2,30.0,0.06682014977585195,0.06997914668660568,0.71875,0.11278238964016007
bracket_nearest,44,0.05,287183360,14562560,0.4,30.0,0.05482264471218039,0.057602705297603904,1.0,0.107037296888155
bracket_nearest,44,0.1,287183360,14562560,0.4,30.0,0.0567948418321869,0.059414916878791246,1.0,0.10747562181779435
bracket_nearest,44,0.2,287183360,14562560,0.4,30.0,0.05644826862427147,0.05939015560257535,1.0,0.10722540535212621
bracket_nearest,44,0.5,287183360,14562560,0.4,30.0,0.05218540454099929,0.055457752251291445,0.921875,0.09406928455143038
bracket_nearest,45,0.05,287183360,14562560,0.6,30.0,0.0744870652610281,0.07746715183410938,1.0,0.12933839660661262
bracket_nearest,45,0.1,287183360,14562560,0.6,30.0,0.06928604093590486,0.07251985201091414,1.0,0.12441594815415513
bracket_nearest,45,0.2,287183360,14562560,0.6,30.0,0.055281334931206856,0.05976325715901173,1.0,0.11307567929886897
bracket_nearest,45,0.5,287183360,14562560,0.6,30.0,0.04103535088809558,0.04522008806409537,1.0,0.083357764380386
bracket_nearest,46,0.05,287183360,14562560,0.8,30.0,0.08178547511214283,0.08306842303622616,1.0,0.12495078286938588
bracket_nearest,46,0.1,287183360,14562560,0.8,30.0,0.06008654354167586,0.0630894884223316,1.0,0.11293487611446418
bracket_nearest,46,0.2,287183360,14562560,0.8,30.0,0.038475007491504676,0.04413601947022088,1.0,0.0947129980082495
bracket_nearest,46,0.5,287183360,14562560,0.8,30.0,0.022804399676405376,0.02941026783645496,1.0,0.06389201691741997
bracket_nearest,47,0.05,287183360,14562560,1.0,30.0,0.08973518196787002,0.09080166292115803,1.0,0.11144734060187522
bracket_nearest,47,0.1,287183360,14562560,1.0,30.0,0.06371627740961064,0.06498100231910701,1.0,0.10201801098883623
bracket_nearest,47,0.2,287183360,14562560,1.0,30.0,0.03703268567995902,0.04127704579623114,1.0,0.08660385193016307
bracket_nearest,47,0.5,287183360,14562560,1.0,30.0,0.017254899727717737,0.02506576751409244,1.0,0.05743066681614084
bracket_nearest,55,0.05,77124608,32270848,0.2,10.0,0.025427093306460858,0.039031894408456225,0.9767441860465116,0.08566424132232076
bracket_nearest,55,0.1,77124608,32270848,0.2,10.0,0.021534539091707966,0.0272963005957095,1.0,0.0687520510507813
bracket_nearest,55,0.2,77124608,32270848,0.2,10.0,0.019998311343189596,0.029450466546322492,0.9611650485436893,0.08153140826599481
bracket_nearest,55,0.5,77124608,32270848,0.2,10.0,0.03320086691995009,0.040456006974769046,0.828125,0.08500058611628036
bracket_nearest,56,0.05,77124608,32270848,0.4,10.0,0.03286903382358941,0.03612940566783706,1.0,0.05615582324330326
bracket_nearest,56,0.1,77124608,32270848,0.4,10.0,0.023428017900537473,0.031386321766892454,1.0,0.08360927427179421
bracket_nearest,56,0.2,77124608,32270848,0.4,10.0,0.027445434565744508,0.034762524194741504,1.0,0.08510181344295864
bracket_nearest,56,0.5,77124608,32270848,0.4,10.0,0.027259676714323243,0.03455974148551186,0.921875,0.07610358789871441
bracket_nearest,57,0.05,77124608,32270848,0.6,10.0,0.026808073248737758,0.031345883830384974,1.0,0.06762748520757889
bracket_nearest,57,0.1,77124608,32270848,0.6,10.0,0.02535755067655475,0.03496392155798029,1.0,0.09270463493750025
bracket_nearest,57,0.2,77124608,32270848,0.6,10.0,0.036696485066575114,0.045588196347827646,1.0,0.10393493520454733
bracket_nearest,57,0.5,77124608,32270848,0.6,10.0,0.027577270505803192,0.035184927054520664,0.875,0.07670850959958964
bracket_nearest,58,0.05,77124608,32270848,0.8,10.0,0.03385898161681897,0.036041830322794774,1.0,0.02251458373182391
bracket_nearest,58,0.1,77124608,32270848,0.8,10.0,0.01685333253307654,0.021572339751616893,1.0,0.05567970812568923
bracket_nearest,58,0.2,77124608,32270848,0.8,10.0,0.014822177980947163,0.02258230274979147,1.0,0.06300024052324726
bracket_nearest,58,0.5,77124608,32270848,0.8,10.0,0.018003214323438044,0.02476068024496646,1.0,0.05637028616324713
bracket_nearest,59,0.05,77124608,32270848,1.0,10.0,0.02997887935753424,0.032358825284520235,1.0,0.023417025819130632
bracket_nearest,59,0.1,77124608,32270848,1.0,10.0,0.019008725995571064,0.021252611348658003,1.0,0.048881164229330754
bracket_nearest,59,0.2,77124608,32270848,1.0,10.0,0.013330743799070694,0.020505452965486844,1.0,0.0588697321482079
bracket_nearest,59,0.5,77124608,32270848,1.0,10.0,0.015001421069770204,0.02365203696860078,0.9375,0.05565353039677845
bracket_nearest,60,0.05,77124608,32270848,0.2,20.0,0.047432185973655734,0.050916428297145426,1.0,0.03012384777695032
bracket_nearest,60,0.1,77124608,32270848,0.2,20.0,0.01516797792586339,0.020208093863382223,1.0,0.055152523461601044
bracket_nearest,60,0.2,77124608,32270848,0.2,20.0,0.012360121163826092,0.02042622229592411,1.0,0.061014706841915345
bracket_nearest,60,0.5,77124608,32270848,0.2,20.0,0.013871241375152915,0.02262765327285159,1.0,0.056254787763064806
bracket_nearest,61,0.05,77124608,32270848,0.4,20.0,0.021219534663285834,0.028081575045895892,1.0,0.07406927278982911
bracket_nearest,61,0.1,77124608,32270848,0.4,20.0,0.028890756246618538,0.0351041368032633,1.0,0.08459640673083024
bracket_nearest,61,0.2,77124608,32270848,0.4,20.0,0.030896179938428,0.035693847419685065,1.0,0.08170685081613582
bracket_nearest,61,0.5,77124608,32270848,0.4,20.0,0.019833483543118268,0.02662101715834881,1.0,0.06148148653035723
bracket_nearest,62,0.05,77124608,32270848,0.6,20.0,0.027445153090609235,0.036548926177477396,1.0,0.09723768468852967
bracket_nearest,62,0.1,77124608,32270848,0.6,20.0,0.04376378661823475,0.05211614565220509,1.0,0.11420467535793799
bracket_nearest,62,0.2,77124608,32270848,0.6,20.0,0.04568116680033872,0.052296367114429594,1.0,0.11108378068698244
bracket_nearest,62,0.5,77124608,32270848,0.6,20.0,0.029196138901218565,0.035114643455491645,1.0,0.07449725066330481
bracket_nearest,63,0.05,77124608,32270848,0.8,20.0,0.014864664140453648,0.021305957378309773,1.0,0.06302502399808185
bracket_nearest,63,0.1,77124608,32270848,0.8,20.0,0.031993806074871865,0.038774407220700774,1.0,0.0883900681933163
bracket_nearest,63,0.2,77124608,32270848,0.8,20.0,0.03945845716178309,0.0439115053753221,1.0,0.0902761658635085
bracket_nearest,63,0.5,77124608,32270848,0.8,20.0,0.027593681182732765,0.031920479906325634,1.0,0.06483121256142566
bracket_nearest,64,0.05,77124608,32270848,1.0,20.0,0.012647912843863018,0.019104503323376983,1.0,0.05860282635099523
bracket_nearest,64,0.1,77124608,32270848,1.0,20.0,0.02874074680729931,0.036164594075240634,0.9391304347826087,0.08668860105601306
bracket_nearest,64,0.2,77124608,32270848,1.0,20.0,0.039674773273862665,0.04459969203373192,0.883495145631068,0.09332235872377836
bracket_nearest,64,0.5,77124608,32270848,1.0,20.0,0.03648692315138456,0.04040230840744946,0.8125,0.07560211041912668
bracket_nearest,65,0.05,77124608,32270848,0.2,30.0,0.0194721119062719,0.022441393050997318,1.0,0.05598192573504379
bracket_nearest,65,0.1,77124608,32270848,0.2,30.0,0.012014519386111764,0.019784407221333667,1.0,0.06257824030010584
bracket_nearest,65,0.2,77124608,32270848,0.2,30.0,0.0210395040359696,0.02630070832557976,1.0,0.06881753203879981
