variant_group,t_group,context,obs_folder,mean_relerr
t610_changedorder,t610,32270848,0,101.425
t610_changedorder,t610,32270848,20,9.3125
t610_changedorder,t610,32270848,50,6.55
t610_changedorder,t610,32270848,90,0.95
t610_changedorder,t610,77124608,0,94.6125
t610_changedorder,t610,77124608,20,9.625
t610_changedorder,t610,77124608,50,6.475
t610_changedorder,t610,77124608,90,0.8375
t610_changedorder,t610,134561280,0,100.6875
t610_changedorder,t610,134561280,20,8.375
t610_changedorder,t610,134561280,50,6.4125000000000005
t610_changedorder,t610,134561280,90,0.7625
t610_changedorder,t610,287183360,0,21.075
t610_changedorder,t610,287183360,20,5.9875
t610_changedorder,t610,287183360,50,5.137499999999999
t610_changedorder,t610,287183360,90,0.3875
t610_changedorder2,t610,32270848,0,91.1375
t610_changedorder2,t610,32270848,20,10.575000000000001
t610_changedorder2,t610,32270848,50,6.825
t610_changedorder2,t610,32270848,90,1.2625
t610_changedorder2,t610,77124608,0,64.5
t610_changedorder2,t610,77124608,20,9.8625
t610_changedorder2,t610,77124608,50,6.475
t610_changedorder2,t610,77124608,90,0.975
t610_changedorder2,t610,134561280,0,54.9
t610_changedorder2,t610,134561280,20,8.7625
t610_changedorder2,t610,134561280,50,6.5875
t610_changedorder2,t610,134561280,90,0.9
t610_changedorder2,t610,287183360,0,13.15
t610_changedorder2,t610,287183360,20,5.6375
t610_changedorder2,t610,287183360,50,5.15
t610_changedorder2,t610,287183360,90,0.525
t610_hpas0,t610,32270848,0,32.625
t610_hpas0,t610,32270848,20,31.375
t610_hpas0,t610,32270848,50,27.05
t610_hpas0,t610,32270848,90,18.5
t610_hpas0,t610,77124608,0,18.4875
t610_hpas0,t610,77124608,20,18.5125
t610_hpas0,t610,77124608,50,18.45
t610_hpas0,t610,77124608,90,15.8375
t610_hpas0,t610,134561280,0,12.9125
t610_hpas0,t610,134561280,20,12.9625
t610_hpas0,t610,134561280,50,13.1
t610_hpas0,t610,134561280,90,12.5125
t610_hpas0,t610,287183360,0,3.4875
t610_hpas0,t610,287183360,20,3.5125
t610_hpas0,t610,287183360,50,3.4875
t610_hpas0,t610,287183360,90,3.4625000000000004
t610_ohneemb,t610,32270848,0,33.7
t610_ohneemb,t610,32270848,20,36.025
t610_ohneemb,t610,32270848,50,30.075
t610_ohneemb,t610,32270848,90,18.6
t610_ohneemb,t610,77124608,0,19.7875
t610_ohneemb,t610,77124608,20,22.15
t610_ohneemb,t610,77124608,50,20.95
t610_ohneemb,t610,77124608,90,16.6875
t610_ohneemb,t610,134561280,0,14.4
t610_ohneemb,t610,134561280,20,15.3375
t610_ohneemb,t610,134561280,50,14.9625
t610_ohneemb,t610,134561280,90,12.1625
t610_ohneemb,t610,287183360,0,2.6875
t610_ohneemb,t610,287183360,20,3.225
t610_ohneemb,t610,287183360,50,2.7375
t610_ohneemb,t610,287183360,90,2.525
t610_onlyemb,t610,32270848,0,246.725
t610_onlyemb,t610,32270848,20,13.625
t610_onlyemb,t610,32270848,50,7.1125
t610_onlyemb,t610,32270848,90,0.725
t610_onlyemb,t610,77124608,0,213.675
t610_onlyemb,t610,77124608,20,13.725000000000001
t610_onlyemb,t610,77124608,50,7.1625
t610_onlyemb,t610,77124608,90,0.8374999999999999
t610_onlyemb,t610,134561280,0,188.875
t610_onlyemb,t610,134561280,20,13.4875
t610_onlyemb,t610,134561280,50,7.125
t610_onlyemb,t610,134561280,90,0.8375
t610_onlyemb,t610,287183360,0,160.9125
t610_onlyemb,t610,287183360,20,12.1125
t610_onlyemb,t610,287183360,50,6.675
t610_onlyemb,t610,287183360,90,0.7625
t610_withbase,t610,32270848,0,90.9
t610_withbase,t610,32270848,20,10.4125
t610_withbase,t610,32270848,50,6.237500000000001
t610_withbase,t610,32270848,90,0.625
t610_withbase,t610,77124608,0,56.9125
t610_withbase,t610,77124608,20,11.6
t610_withbase,t610,77124608,50,6.75
t610_withbase,t610,77124608,90,1.1624999999999999
t610_withbase,t610,134561280,0,41.475
t610_withbase,t610,134561280,20,10.5625
t610_withbase,t610,134561280,50,6.5625
t610_withbase,t610,134561280,90,0.8375
t610_withbase,t610,287183360,0,8.5125
t610_withbase,t610,287183360,20,5.574999999999999
t610_withbase,t610,287183360,50,4.7125
t610_withbase,t610,287183360,90,0.725
