tokens,flops,Train Loss,Validation Loss,tkpm,base_N,target_N,shrink,max_lr,n_embd,n_head,method,shrinking,post_hoc_df,g_width,g_N
35323904,6839594020503552.0,2.5373191833496094,2.8937034606933594,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
35979264,6966488158175232.0,2.6492817401885986,2.8855509757995605,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
36634624,7093382295846912.0,2.6179990768432617,2.8799610137939453,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
37289984,7220276433518592.0,3.0054972171783447,2.87501859664917,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
37945344,7347170571190272.0,2.8329310417175293,2.872044086456299,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
38600704,7474064708861952.0,3.319307327270508,2.8670969009399414,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
39256064,7600958846533632.0,2.7242846488952637,2.8585495948791504,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
39911424,7727852984205312.0,2.635344982147217,2.8530349731445312,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
40566784,7854747121876992.0,2.4991369247436523,2.849231004714966,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
41222144,7981641259548672.0,2.848781108856201,2.8451995849609375,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
41877504,8108535397220352.0,2.4994864463806152,2.8387303352355957,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
42532864,8235429534892032.0,2.7875118255615234,2.8337996006011963,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
43188224,8362323672563712.0,2.968336582183838,2.8259940147399902,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
43843584,8489217810235392.0,2.8155624866485596,2.8235530853271484,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
44498944,8616111947907072.0,2.926732063293457,2.819840908050537,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
45154304,8743006085578752.0,2.8856825828552246,2.814671754837036,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
45809664,8869900223250432.0,2.7155065536499023,2.808344602584839,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
46465024,8996794360922112.0,2.660503625869751,2.80269193649292,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
47120384,9123688498593792.0,2.8580822944641113,2.799311637878418,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
47775744,9250582636265472.0,2.7052292823791504,2.793057918548584,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
48431104,9377476773937152.0,2.733550548553467,2.7892048358917236,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
49086464,9504370911608832.0,2.7417402267456055,2.7786922454833984,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
49741824,9631265049280512.0,2.945373058319092,2.7708702087402344,10.0,14562560,32270848,0.2,0.003,256,4,paws,0.2,/work/dlclarge1/mallik-warmstarting/warmstarting_exps/results/shrinking_laws/s1-s2/10tkpm/shrinking=0.2/seed=666/post_hoc_analysis.parquet,2.0,2.216014766634438
