scale,epoch,target_hp,source_config,source_hp,nll,rank
[8],0,"lr0.0003,wd0.01",5,"lr=1e-04, wd=0.0",-0.9391,1
[8],0,"lr0.0003,wd0.01",7,"lr=3e-04, wd=0.0",-0.8444,2
[8],0,"lr0.0003,wd0.01",6,"lr=1e-04, wd=0.01",-0.8435,3
[8],0,"lr0.0003,wd0.01",9,"lr=0.001, wd=0.0",-0.8355,4
[8],0,"lr0.0003,wd0.01",10,"lr=0.001, wd=0.01",-0.8143,5
[8],0,"lr0.0003,wd0.01",3,"lr=3e-05, wd=0.0",-0.7933,6
[8],0,"lr0.0003,wd0.01",12,"lr=0.003, wd=0.01",-0.7668,7
[8],0,"lr0.0003,wd0.01",8,"lr=3e-04, wd=0.01",-0.7643,8
[8],0,"lr0.0003,wd0.01",4,"lr=3e-05, wd=0.01",-0.7246,9
[8],0,"lr0.0003,wd0.01",11,"lr=0.003, wd=0.0",-0.7218,10
[8],0,"lr0.0003,wd0.01",2,"lr=1e-05, wd=0.01",-0.5096,11
[8],0,"lr0.0003,wd0.01",1,"lr=1e-05, wd=0.0",-0.5096,12
[8],0,"lr0.001,wd0.0",5,"lr=1e-04, wd=0.0",-0.9272,1
[8],0,"lr0.001,wd0.0",9,"lr=0.001, wd=0.0",-0.8554,2
[8],0,"lr0.001,wd0.0",7,"lr=3e-04, wd=0.0",-0.8544,3
[8],0,"lr0.001,wd0.0",6,"lr=1e-04, wd=0.01",-0.8367,4
[8],0,"lr0.001,wd0.0",10,"lr=0.001, wd=0.01",-0.8274,5
[8],0,"lr0.001,wd0.0",12,"lr=0.003, wd=0.01",-0.7889,6
[8],0,"lr0.001,wd0.0",8,"lr=3e-04, wd=0.01",-0.7674,7
[8],0,"lr0.001,wd0.0",11,"lr=0.003, wd=0.0",-0.7448,8
[8],0,"lr0.001,wd0.0",3,"lr=3e-05, wd=0.0",-0.7234,9
[8],0,"lr0.001,wd0.0",4,"lr=3e-05, wd=0.01",-0.6691,10
[8],0,"lr0.001,wd0.0",2,"lr=1e-05, wd=0.01",-0.4754,11
[8],0,"lr0.001,wd0.0",1,"lr=1e-05, wd=0.0",-0.4611,12
[8],0,"lr0.001,wd0.01",5,"lr=1e-04, wd=0.0",-0.9861,1
[8],0,"lr0.001,wd0.01",3,"lr=3e-05, wd=0.0",-0.9026,2
[8],0,"lr0.001,wd0.01",6,"lr=1e-04, wd=0.01",-0.8867,3
[8],0,"lr0.001,wd0.01",7,"lr=3e-04, wd=0.0",-0.8738,4
[8],0,"lr0.001,wd0.01",9,"lr=0.001, wd=0.0",-0.8683,5
[8],0,"lr0.001,wd0.01",10,"lr=0.001, wd=0.01",-0.8497,6
[8],0,"lr0.001,wd0.01",4,"lr=3e-05, wd=0.01",-0.8438,7
[8],0,"lr0.001,wd0.01",12,"lr=0.003, wd=0.01",-0.8193,8
[8],0,"lr0.001,wd0.01",8,"lr=3e-04, wd=0.01",-0.7929,9
[8],0,"lr0.001,wd0.01",11,"lr=0.003, wd=0.0",-0.7541,10
[8],0,"lr0.001,wd0.01",1,"lr=1e-05, wd=0.0",-0.6146,11
[8],0,"lr0.001,wd0.01",2,"lr=1e-05, wd=0.01",-0.6066,12
[8],0,"lr0.003,wd0.0",5,"lr=1e-04, wd=0.0",-0.9485,1
[8],0,"lr0.003,wd0.0",9,"lr=0.001, wd=0.0",-0.8689,2
[8],0,"lr0.003,wd0.0",7,"lr=3e-04, wd=0.0",-0.8678,3
[8],0,"lr0.003,wd0.0",6,"lr=1e-04, wd=0.01",-0.8532,4
[8],0,"lr0.003,wd0.0",10,"lr=0.001, wd=0.01",-0.8417,5
[8],0,"lr0.003,wd0.0",12,"lr=0.003, wd=0.01",-0.8182,6
[8],0,"lr0.003,wd0.0",3,"lr=3e-05, wd=0.0",-0.8008,7
[8],0,"lr0.003,wd0.0",8,"lr=3e-04, wd=0.01",-0.7797,8
[8],0,"lr0.003,wd0.0",11,"lr=0.003, wd=0.0",-0.7616,9
[8],0,"lr0.003,wd0.0",4,"lr=3e-05, wd=0.01",-0.7501,10
[8],0,"lr0.003,wd0.0",2,"lr=1e-05, wd=0.01",-0.5397,11
[8],0,"lr0.003,wd0.0",1,"lr=1e-05, wd=0.0",-0.5374,12
[8],0,"lr0.003,wd0.01",5,"lr=1e-04, wd=0.0",-1.0365,1
[8],0,"lr0.003,wd0.01",3,"lr=3e-05, wd=0.0",-1.0287,2
[8],0,"lr0.003,wd0.01",4,"lr=3e-05, wd=0.01",-0.9794,3
[8],0,"lr0.003,wd0.01",6,"lr=1e-04, wd=0.01",-0.934,4
[8],0,"lr0.003,wd0.01",7,"lr=3e-04, wd=0.0",-0.9037,5
[8],0,"lr0.003,wd0.01",9,"lr=0.001, wd=0.0",-0.8965,6
[8],0,"lr0.003,wd0.01",10,"lr=0.001, wd=0.01",-0.8757,7
[8],0,"lr0.003,wd0.01",12,"lr=0.003, wd=0.01",-0.8683,8
[8],0,"lr0.003,wd0.01",8,"lr=3e-04, wd=0.01",-0.8243,9
[8],0,"lr0.003,wd0.01",11,"lr=0.003, wd=0.0",-0.7794,10
[8],0,"lr0.003,wd0.01",1,"lr=1e-05, wd=0.0",-0.7337,11
[8],0,"lr0.003,wd0.01",2,"lr=1e-05, wd=0.01",-0.7148,12
[8],5,"lr1e-05,wd0.0",7,"lr=3e-04, wd=0.0",-2.1619,1
[8],5,"lr1e-05,wd0.0",9,"lr=0.001, wd=0.0",-2.1133,2
[8],5,"lr1e-05,wd0.0",8,"lr=3e-04, wd=0.01",-2.0007,3
[8],5,"lr1e-05,wd0.0",5,"lr=1e-04, wd=0.0",-1.9998,4
[8],5,"lr1e-05,wd0.0",6,"lr=1e-04, wd=0.01",-1.9553,5
[8],5,"lr1e-05,wd0.0",11,"lr=0.003, wd=0.0",-1.9262,6
[8],5,"lr1e-05,wd0.0",3,"lr=3e-05, wd=0.0",-1.9258,7
[8],5,"lr1e-05,wd0.0",4,"lr=3e-05, wd=0.01",-1.9048,8
[8],5,"lr1e-05,wd0.0",10,"lr=0.001, wd=0.01",-1.8839,9
[8],5,"lr1e-05,wd0.0",12,"lr=0.003, wd=0.01",-1.7719,10
[8],5,"lr1e-05,wd0.0",1,"lr=1e-05, wd=0.0",-1.7073,11
[8],5,"lr1e-05,wd0.0",2,"lr=1e-05, wd=0.01",-1.6847,12
[8],5,"lr1e-05,wd0.01",7,"lr=3e-04, wd=0.0",-2.417,1
[8],5,"lr1e-05,wd0.01",9,"lr=0.001, wd=0.0",-2.3035,2
[8],5,"lr1e-05,wd0.01",5,"lr=1e-04, wd=0.0",-2.2561,3
