scale,source_config,source_hp,epoch,target_hp,target_hp_short,nll,mse
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.5816515768119914,7.788778307829383e-05
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-3.9728364594419348,9.39445450276548e-07
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-2.3614170936885066,0.00017005332141477477
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-3.6347407516810426,1.0422278536298417e-06
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-2.2041491285270407,5.663270537688147e-05
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-3.0672357877368164,0.0001073267029769726
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-3.0916780615057835,0.00018466899580442918
[8],1,"lr=1e-05, wd=0.0",50,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-2.916479710930767,0.0002727393056807669
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-4.1133493897955224,1.9387116042641798e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-4.169597063715793,4.297130125318591e-07
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-4.068324506882314,1.4334054923559382e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-4.163303616284407,6.233024333444756e-07
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-3.533212705634724,3.7133904854672886e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-4.181168650218148,7.034522866381738e-07
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-3.481927468595962,1.3379198769397446e-05
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-4.150227391443234,2.8652160852335714e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-3.318042473789551,6.626260744563195e-05
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-3.871906137911418,2.7754664574976523e-06
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-3.372476519134472,4.4246549223461865e-05
[8],1,"lr=1e-05, wd=0.0",90,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-3.6091397386352795,1.652120550537512e-05
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-0.6024459802191087,0.01704579968153627
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-0.7080596392439052,0.013832068539100881
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-0.38923590488088955,0.023201873319449555
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-0.5730809080725552,0.01773249644908128
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-0.34217498987730155,0.024376470172555606
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-0.490953194469224,0.02020524124051344
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-0.4199635640309511,0.021935598862144832
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-0.5096482019552815,0.019811337579882172
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-0.47543251601638964,0.020461787598377443
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-0.6066442612979239,0.01683974103150467
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-0.5396965924915403,0.01868125266786138
[8],2,"lr=1e-05, wd=0.01",0,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-0.7148258999737518,0.012881792416687682
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-1.6846937113955012,0.0010621576670888425
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-1.7655623785486192,0.0004325486132215279
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-1.7107054953242207,5.2729810461666524e-05
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-1.77254665184268,2.1438507910846082e-05
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-1.6753901252488534,0.000304275819601379
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-1.7763423095714783,6.7747313367217405e-06
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.5864893772977156,0.002062522754364872
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-1.7677777107684867,4.0732645756204995e-05
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.522856042605865,0.002768452388563503
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.001_hd128_wd0.01_cosine,"lr0.001,wd0.01",-1.2922328488284662,0.0005133785566674669
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.003_hd128_wd0.0_cosine,"lr0.003,wd0.0",-1.238712351369018,0.0037318841336392294
[8],2,"lr=1e-05, wd=0.01",5,layer4_lr0.003_hd128_wd0.01_cosine,"lr0.003,wd0.01",-1.9344725731823489,0.0005773052514720734
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr1e-05_hd128_wd0.0_cosine,"lr1e-05,wd0.0",-1.902811319926421,0.000186632218618261
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr1e-05_hd128_wd0.01_cosine,"lr1e-05,wd0.01",-2.051010803563237,0.00017995090077677263
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr3e-05_hd128_wd0.0_cosine,"lr3e-05,wd0.0",-2.143366629734693,7.686281825365854e-06
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr3e-05_hd128_wd0.01_cosine,"lr3e-05,wd0.01",-2.1807898227240807,5.407476915334201e-05
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.0001_hd128_wd0.0_cosine,"lr0.0001,wd0.0",-2.020378064733915,0.0007094704027200835
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.0001_hd128_wd0.01_cosine,"lr0.0001,wd0.01",-2.2205723850276047,0.00010404760791543997
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.0003_hd128_wd0.0_cosine,"lr0.0003,wd0.0",-1.8347963254746174,0.00243885222132709
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.0003_hd128_wd0.01_cosine,"lr0.0003,wd0.01",-2.018173354866626,0.0001393836007683754
[8],2,"lr=1e-05, wd=0.01",10,layer4_lr0.001_hd128_wd0.0_cosine,"lr0.001,wd0.0",-1.904631969544943,0.001565530854931569
